You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  8   3  89   0   0   0|  17k   17k|   0     0 |1350B 3013B| 145   546 
 10   5  40  45   0   0| 572k    0 | 664B  384B|   0     0 | 140   566 
  2   0  98   0   0   0|   0     0 |   0     0 |   0     0 |  86   204 
  3   1  96   0   0   0|   0     0 |   0     0 |   0     0 |  84   214 
  1   1  98   0   0   0|   0     0 |   0     0 |   0     0 |  84   192 
  5   0  95   0   0   0|   0  4096B|   0     0 |   0     0 |  88   210 
 13   5  82   0   0   0|   0    40k|   0     0 |   0     0 | 225   480 
 15   7  77   0   0   0|   0     0 |   0     0 |   0     0 | 273   545 
  5   2  93   0   0   0|   0     0 |   0     0 |   0     0 |  91   217 
 36   8  56   0   0   0|   0    52k| 262B    0 |   0     0 | 201   880 
 61  14  24   0   0   0|   0    76k|   0     0 |   0     0 | 309  1098 
 48  13  40   0   0   0|   0     0 |   0     0 |   0     0 | 300  1364 
 11   6  82   0   0   1| 104k    0 |   0     0 |   0     0 | 150   580 
  2   0  98   0   0   0|   0     0 |   0     0 |   0     0 |  88   208 
  1   0  99   0   0   0|   0     0 |   0     0 |   0     0 |  76   188 
  2   0  98   0   0   0|   0    32k|   0     0 |   0     0 |  75   193 
  1   0  99   0   0   0|   0     0 |   0     0 |   0     0 |  91   205 
  3   1  96   0   0   0|   0     0 |   0     0 |   0     0 |  72   201 
  0   0 100   0   0   0|   0     0 |   0     0 |   0     0 |  69   179 
  2   0  98   0   0   0|   0     0 |   0     0 |   0     0 |  77   181 
  1   0  99   0   0   0|   0    20k|   0     0 |   0     0 |  77   193 
 14   3  83   0   0   0|   0     0 |   0     0 |   0     0 | 239   505 
  4   2  94   0   0   0|   0     0 |   0     0 |   0     0 | 116   341 
  3   0  97   0   0   0|   0     0 |  98B    0 |   0     0 |  72   160 
  6   4  60  30   0   0| 448k    0 |   0     0 |8192B    0 | 197   348 
 24  11  58   6   0   1| 592k   24k| 619B    0 | 232k    0 | 418   752 
 42   8  50   0   0   0|  32k    0 | 262B    0 |  32k    0 | 295   744 
 36   6  57   0   0   0|   0     0 |   0     0 |   0     0 | 212   640 
  3   1  96   0   0   0|  68k    0 | 429B    0 |   0     0 | 106   343 
 37  21  21  19   0   3|2428k    0 |   0     0 | 872k    0 | 433   668 
  5   2  93   0   0   0|   0     0 |   0     0 |   0     0 | 119   308 
  4   1  95   0   0   0|   0    16k|   0     0 |   0     0 | 114   297 
 64  10  26   0   0   0|   0     0 | 262B    0 |   0     0 | 488  1018 
 50  11  39   0   0   0|   0     0 |   0     0 |   0     0 | 272   683 
  5   3  92   0   0   0|   0     0 |   0     0 |   0     0 | 128   355 
  5   1  94   0   0   0|   0  4096B|   0     0 |   0     0 | 119   330 
  3   1  96   0   0   0|   0    24k|   0     0 |   0     0 | 120   329 
  3   2  95   0   0   0|   0     0 |   0     0 |   0     0 | 111   277 
  6   2  92   0   0   0|   0     0 |   0     0 |   0     0 | 111   321 
